Area;Status
Area 355;Presence of Evil • +1% Increased Chance to Drop Prime Evil Parts from Act Bosses
Area 356;The Key of Terror • +1% Chance to Drop a Key of Terror when Killing an Act Boss
Area 357;Manifesting Cycle • +5% Act Bosses Gain the Chance to Drop a Prime Evil Part From the Next Boss in the Cycle
Area 358;Guardians of Evil • +40% Increases the Magic Find of Monsters Inside Act Bosses Dungeons
Area 359;Unkillable Evil • +25% Chance for an Act Boss to Respawn After Being Killed
Area 360;Unholy Luck • +1% Chance to Double the Amount of Prime Evil Parts Dropped From Act Bosses
Area 361;Unholy Luck • +1% Chance to Double the Amount of Prime Evil Parts Dropped From Act Bosses
Area 362;Prime Trasure • +1% Chance to Spawn a Ruby Chest After Killing an Act Boss
Area 363;Prime Trasure • +1% Chance to Spawn a Ruby Chest After Killing an Act Boss
Area 364;Soul Sacrifice • +100% You can no Longer Drop Prime Evil Parts from Act Bosses, But Double the Chances to Drop a Soul Gem
Area 365;Son of Lucifer • +25% Chance to Clone Damien Within Fallen Inoya. Double the Suffering, Double the Reward
Area 366;Presence of Evil • +1% Increased Chance to Drop Prime Evil Parts from Act Bosses
Area 367;Presence of Evil • +1% Increased Chance to Drop Prime Evil Parts from Act Bosses
Area 368;Shadow Carriers • +1% Ancient Monsters Within the Shadow Realm Have a Chance to Respawn as Shadow Goblins
Area 369;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 370;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 371;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 372;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 373;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 374;Dimensional Abudance • +1% Increased Chance to Drop Dimensional Shards from Monster Within the Shadow Realm
Area 375;Dimensional Abudance • +1% Increased Chance to Drop Dimensional Shards from Monster Within the Shadow Realm
Area 376;Key to the Shadow • +1% Chance to the Ancient Monster Within the Shadow Realm to Drop a Stack of Dimensional Shards
Area 377;Black Market Hierarchy • +10% Increases the Chance of Veras to Spawn as a Higher Tier Merchant
Area 378;Dwelling Shadows • +1 Increases the Size of Monster Packs Within the Shadow Realm
Area 379;Dwelling Shadows • +1 Increases the Size of Monster Packs Within the Shadow Realm
Area 380;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 381;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 382;Twice the Shadow • +25% Chance to Clone Shade of Death Within Reaper's Breach. Double the Suffering, Double the Reward
Area 383;Fortune of Shadow • +50% Inceased Total Magic Find in Shadow Realm
Area 384;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 385;Whispering Shadows • +1% Increased Chance to Spawn a Shadow Realm in your Maps
Area 386;Dimensional Abudance • +1% Increased Chance to Drop Dimensional Shards from Monster Within the Shadow Realm
Area 387;Dimensional Abudance • +1% Increased Chance to Drop Dimensional Shards from Monster Within the Shadow Realm
Area 388;Dimensional Abudance • +1% Increased Chance to Drop Dimensional Shards from Monster Within the Shadow Realm
Area 389;Magic Find • +1% Increased Total Magic Find
Area 390;Magic Find • +1% Increased Total Magic Find
Area 391;Magic Find • +1% Increased Total Magic Find
Area 392;Magic Find • +1% Increased Total Magic Find
Area 393;Magic Find • +1% Increased Total Magic Find
Area 394;N/A
